Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
Command Line Adjustments,1,1.000000,0.000067,0.000067,0.000067,0.000067,0.000067,0.000030,0.000030,0.000030,0.000030,0.000030
FConfigContext::Load,381,381.000000,1.022377,0.000015,0.034664,0.002683,0.000365,0.190194,0.000015,0.007676,0.000499,0.000170
BeginPreInitTextLocalization,2,2.000000,0.000014,0.000000,0.000014,0.000007,0.000014,0.000014,0.000001,0.000013,0.000007,0.000013
PreInitShaderLibrary,1,1.000000,0.000008,0.000008,0.000008,0.000008,0.000008,0.000008,0.000008,0.000008,0.000008,0.000008
LaunchCheckForFileOverride,1,1.000000,0.007485,0.007485,0.007485,0.007485,0.007485,0.002561,0.002561,0.002561,0.002561,0.002561
ParallelFor,4579,4579.000000,0.955380,0.000000,0.295523,0.000209,0.000000,0.207769,0.000000,0.002058,0.000045,0.000000
LoadModule,402,402.000000,1.653136,0.000000,0.128027,0.004112,0.001293,0.145110,0.000004,0.023495,0.000361,0.000241
FPlatformProcess_GetDllHandle,395,395.000000,0.600503,0.000012,0.076530,0.001520,0.000785,0.133961,0.000012,0.010985,0.000339,0.000234
StartupModule,394,394.000000,0.455874,0.000000,0.087899,0.001157,0.000000,0.161720,0.000000,0.024550,0.000410,0.000000
AddExtraBinarySearchPaths,1,1.000000,0.037014,0.037014,0.037014,0.037014,0.037014,0.005781,0.005781,0.005781,0.005781,0.005781
LoadIniFileHierarchy,334,334.000000,0.832182,0.000130,0.033466,0.002492,0.000130,0.832182,0.000130,0.033466,0.002492,0.000130
IFileManager::Get().ProcessCommandLineOptions,1,1.000000,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002
InitializeNewAsyncIO,1,1.000000,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002
PlatformFileChainElement->InitializeAfterProjectFilePath,1,1.000000,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001
IProjectManager::Get().LoadProjectFile,1,1.000000,0.000190,0.000190,0.000190,0.000190,0.000190,0.000010,0.000010,0.000010,0.000010,0.000010
new FProjectManager,1,1.000000,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002
FProjectDescriptor::Load,1,1.000000,0.000178,0.000178,0.000178,0.000178,0.000178,0.000122,0.000122,0.000122,0.000122,0.000122
