Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
LaunchSetGameName,1,1.000000,0.000032,0.000032,0.000032,0.000032,0.000032,0.000032,0.000032,0.000032,0.000032,0.000032
FTraceAux_Init,1,1.000000,0.103063,0.103063,0.103063,0.103063,0.103063,0.000090,0.000090,0.000090,0.000090,0.000090
FTraceAux_Launch_UTS,1,1.000000,0.044386,0.044386,0.044386,0.044386,0.044386,0.044386,0.044386,0.044386,0.044386,0.044386
FTraceAux_Start,2,2.000000,0.000467,0.000045,0.000421,0.000233,0.000419,0.000009,0.000001,0.000008,0.000005,0.000008
FTraceAux_EnableChannels,2,2.000000,0.000059,0.000022,0.000037,0.000030,0.000037,0.000059,0.000022,0.000037,0.000030,0.000037
FTraceAux_InitialStats,1,1.000000,0.000023,0.000023,0.000023,0.000023,0.000023,0.000001,0.000001,0.000001,0.000001,0.000001
FTraceAux_Stats_Counters,1,1.000000,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003
FTraceAux_Stats_LLM,1,1.000000,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019,0.000019
UE::Trace::Initialize,1,1.000000,0.000112,0.000112,0.000112,0.000112,0.000112,0.000112,0.000112,0.000112,0.000112,0.000112
FTraceAux_CallstackTrace_Create,1,1.000000,0.001025,0.001025,0.001025,0.001025,0.001025,0.001025,0.001025,0.001025,0.001025,0.001025
FTraceAux_CallstackTrace_Init,1,1.000000,0.057359,0.057359,0.057359,0.057359,0.057359,0.057359,0.057359,0.057359,0.057359,0.057359
FTraceAux_PlatformEventsTrace_Init,1,1.000000,0.000023,0.000023,0.000023,0.000023,0.000023,0.000023,0.000023,0.000023,0.000023,0.000023
FTraceAux_TryAutoConnect,1,1.000000,0.000024,0.000024,0.000024,0.000024,0.000024,0.000024,0.000024,0.000024,0.000024,0.000024
LLM Init,1,1.000000,0.005722,0.005722,0.005722,0.005722,0.005722,0.005722,0.005722,0.005722,0.005722,0.005722
InitTaggedStorage,1,1.000000,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001
CreateConsoleOutputDevice,1,1.000000,0.000018,0.000018,0.000018,0.000018,0.000018,0.000018,0.000018,0.000018,0.000018,0.000018
Fix up the relative project path,1,1.000000,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025,0.000025
FWindowsPlatformFile_IterateDirectoryCommon_WithCallback,4866,4866.000000,0.504851,0.000000,0.017435,0.000104,0.000000,0.504851,0.000012,0.014683,0.000104,0.000012
Init Output Devices,1,1.000000,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009
FCoreDelegates::OnOutputDevicesInit,1,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Command Line Adjustments,1,1.000000,0.000066,0.000066,0.000066,0.000066,0.000066,0.000030,0.000030,0.000030,0.000030,0.000030
FConfigContext::Load,382,382.000000,0.945271,0.000016,0.031151,0.002475,0.000330,0.193653,0.000016,0.007328,0.000507,0.000163
BeginPreInitTextLocalization,2,2.000000,0.000016,0.000000,0.000016,0.000008,0.000016,0.000016,0.000002,0.000014,0.000008,0.000014
PreInitShaderLibrary,1,1.000000,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009
LaunchCheckForFileOverride,1,1.000000,0.005662,0.005662,0.005662,0.005662,0.005662,0.002361,0.002361,0.002361,0.002361,0.002361
ParallelFor,498,498.000000,0.571503,0.000000,0.279335,0.001148,0.000000,0.013965,0.000000,0.004646,0.000028,0.000000
LoadModule,402,402.000000,1.522049,0.000000,0.123700,0.003786,0.001249,0.109564,0.000004,0.016744,0.000273,0.000173
FPlatformProcess_GetDllHandle,395,395.000000,0.502715,0.000010,0.067492,0.001273,0.000691,0.084658,0.000010,0.007007,0.000214,0.000151
StartupModule,394,394.000000,0.422491,0.000000,0.075560,0.001072,0.000000,0.157008,0.000000,0.024553,0.000398,0.000000
AddExtraBinarySearchPaths,1,1.000000,0.037611,0.037611,0.037611,0.037611,0.037611,0.007136,0.007136,0.007136,0.007136,0.007136
LoadIniFileHierarchy,334,334.000000,0.751618,0.000107,0.029455,0.002250,0.000107,0.751618,0.000107,0.029455,0.002250,0.000107
IFileManager::Get().ProcessCommandLineOptions,1,1.000000,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003
InitializeNewAsyncIO,1,1.000000,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002
PlatformFileChainElement->InitializeAfterProjectFilePath,1,1.000000,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003
IProjectManager::Get().LoadProjectFile,1,1.000000,0.000282,0.000282,0.000282,0.000282,0.000282,0.000024,0.000024,0.000024,0.000024,0.000024
new FProjectManager,1,1.000000,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004,0.000004
FProjectDescriptor::Load,1,1.000000,0.000254,0.000254,0.000254,0.000254,0.000254,0.000183,0.000183,0.000183,0.000183,0.000183
FProjectDescriptor::Read,2,2.000000,0.000204,0.000072,0.000132,0.000102,0.000132,0.000098,0.000026,0.000072,0.000049,0.000071
FTaskGraphInterface::Startup,1,1.000000,0.004354,0.004354,0.004354,0.004354,0.004354,0.004354,0.004354,0.004354,0.004354,0.004354
Init FQueuedThreadPool's,1,1.000000,0.001117,0.001117,0.001117,0.001117,0.001117,0.001117,0.001117,0.001117,0.001117,0.001117
FWaitingQueue_CreateThread,17,17.000000,0.016583,0.000243,0.004483,0.000975,0.000586,0.000011,0.000000,0.000002,0.000001,0.000001
CreateWorkerThread,17,17.000000,0.016571,0.000243,0.004482,0.000975,0.000585,0.016571,0.000243,0.004482,0.000975,0.000585
LoadCoreModules,1,1.000000,0.076059,0.076059,0.076059,0.076059,0.076059,0.000028,0.000028,0.000028,0.000028,0.000028
ProcessNewlyLoadedUObjects,648,648.000000,2.066839,0.000000,1.595273,0.003190,0.000000,0.001426,0.000000,0.000037,0.000002,0.000001
UClassRegisterAllCompiledInClasses,520,520.000000,0.050325,0.000000,0.017334,0.000097,0.000000,0.050325,0.000000,0.017334,0.000097,0.000000
FPackageName::FLongPackagePathsSingleton,1,1.000000,0.000085,0.000085,0.000085,0.000085,0.000085,0.000085,0.000085,0.000085,0.000085,0.000085
DiscoverAllPlugins,1,1.000000,0.058071,0.058071,0.058071,0.058071,0.058071,0.007261,0.007261,0.007261,0.007261,0.007261
FWaitingQueue_Unpark_SignalWaitingThread,6198,6198.000000,0.023710,0.000000,0.000105,0.000004,0.000004,0.023710,0.000000,0.000105,0.000004,0.000004
FindPluginsInDirectory.PF,54,54.000000,0.350159,0.000000,0.019930,0.006484,0.003926,0.001557,0.000000,0.000270,0.000029,0.000011
ParallelFor.Wait,79,79.000000,0.046933,0.000001,0.014562,0.000594,0.000001,0.024812,0.000000,0.014562,0.000314,0.000000
ReadPluginsInDirectory.PF,17,17.000000,0.345066,0.000144,0.023167,0.020298,0.022934,0.345066,0.000144,0.023167,0.020298,0.022934
